ID,WJAPWC54,INCNTM54,THTPEC1F,WJAPWCG5
1,428,3.772319557,25,508
2,417,6.254574489,9,530
3,428,5.365076704,18,519
4,435,3.027480205,20,511
5,399,1.591289782,11,499
6,441,1.664219285,22,516
7,428,3.904517932,23,525
8,441,5.654189755,24,522
9,412,1.370533529,16,499
10,444,2.129216847,20,502
11,389,1.663450662,2,489
12,441,0.807999192,11,508
13,379,3.772319557,14,505
14,431,1.796526715,15,511
15,431,2.096089139,10,496
16,379,0.820176338,15,502
17,408,2.129216847,4,489
18,435,3.127287245,30,522
19,438,1.463836583,14,522
20,417,2.661521059,10,519
21,441,1.508927823,18,502
22,441,3.326901324,24,522
23,408,0.135032269,20,492
24,431,1.663450662,29,496
25,454,3.787496213,6,519
26,417,1.357005541,11,508
27,421,1.663450662,15,502
28,424,2.777497223,4,492
29,454,1.463836583,12,519
30,431,1.13114645,14,519
31,428,2.827094877,15,511
32,431,3.326901324,16,519
33,412,0.293728888,10,502
34,424,2.940178672,17,519
35,412,1.264222503,15,499
36,435,3.332996667,12,522
37,399,1.996140794,10,485
38,424,1.497105596,10,508
39,356,2.705184851,12,492
40,394,2.741366691,21,505
41,441,3.534996465,14,511
42,417,7.125492497,14,508
43,431,0.908710218,24,508
44,421,0.244774074,0,469
45,408,1.978966414,23,514
46,431,4.650024474,17,519
47,399,2.2622929,31,499
48,435,2.927673165,18,525
49,428,2.794597112,11,516
50,417,12.72192695,11,496
51,428,1.978966414,22,511
52,421,1.922424517,22,508
53,417,0.500956408,18,492
54,424,0.848128463,19,514
55,424,2.682538352,15,516
56,428,2.487843492,19,522
57,404,0.900576369,11,481
58,417,7.712297762,20,511
59,444,3.326901324,20,505
60,448,2.528445006,11,514
61,451,5.323042119,17,514
62,421,0.500250125,10,485
63,412,6.653802648,17,516
64,399,1.67658647,5,481
65,394,1.596912636,6,496
66,428,4.990351986,6,516
67,431,6.70634588,22,528
68,444,2.870064549,12,536
69,356,0.703517588,11,461
70,404,1.017754156,6,508
71,424,0.167504188,24,511
72,394,0.097895252,14,473
73,389,1.926298157,21,489
74,408,0.201005025,8,508
75,394,2.395368953,23,516
76,379,0.802053256,6,473
77,428,0.81154193,16,516
78,421,4.41281924,21,519
79,428,5.988422383,10,528
80,428,6.653802648,10,505
81,417,0.848128463,21,502
82,438,9.980703972,9,511
83,435,4.997005789,4,528
84,435,10.98426708,16,516
85,421,12.74205717,19,511
86,412,6.363191385,18,496
87,441,3.992281589,17,502
88,435,3.350083752,19,511
89,441,8.38293235,23,502
90,444,4.990351986,15,516
91,424,5.088770779,17,499
92,435,7.72243367,12,514
93,428,6.70634588,17,511
94,444,7.125492497,12,547
95,428,3.992281589,11,505
96,438,4.352557127,20,514
97,417,7.651873045,6,496
98,438,1.413547439,15,516
99,428,1.06049894,27,485
100,421,2.827094877,16,514
101,421,4.140995859,22,514
102,438,4.773869347,17,516
103,435,3.326901324,12,511
104,412,15.92757146,11,499
105,417,3.67522334,10,508
106,428,5.484564062,23,514
107,431,5.589194224,10,496
108,431,7.452258966,15,505
109,404,4.023807528,11,505
110,417,0.643666323,11,508
111,408,2.011903764,12,511
112,424,3.971537316,17,519
113,424,2.794597112,6,502
114,435,1.713418515,4,530
115,438,7.984563178,18,508
116,444,3.992281589,21,516
117,438,1.489326493,17,522
118,394,3.392513853,19,502
119,438,5.323042119,14,533
120,454,2.767765191,12,505
121,431,3.787496213,26,505
122,417,0.678502771,10,516
123,435,4.071016623,19,522
124,435,6.786878701,18,519
125,435,4.324971721,6,519
126,438,7.544639115,25,516
127,441,6.653802648,22,522
128,441,4.657661854,22,533
129,448,6.653802648,25,519
130,412,4.990351986,12,514
131,404,3.659591457,15,502
132,441,8.31725331,16,525
133,417,5.371480267,11,492
134,383,0.451195669,4,492
135,444,1.809340721,12,522
136,438,3.787496213,17,516
137,424,1.341269176,13,485
138,389,1.978966414,26,522
139,417,9.046703607,14,496
140,408,4.41281924,21,514
141,399,6.287199262,0,492
142,421,2.661521059,6,511
143,435,3.67522334,12,522
144,444,3.971537316,14,516
145,438,6.653802648,12,528
146,421,4.960711168,12,511
147,441,5.988422383,21,511
148,408,3.109804365,15,502
149,438,4.990351986,22,528
150,465,3.659591457,26,522
151,424,6.21960873,11,505
152,394,1.566554071,7,492
153,404,3.992281589,17,505
154,428,1.193554804,31,511
155,431,6.653802648,6,516
156,438,2.328830927,24,511
157,441,4.990351986,22,511
158,435,3.326901324,11,499
159,417,1.055257099,11,481
160,435,2.827094877,15,525
161,421,6.919954754,12,511
162,379,1.539645881,7,508
163,431,7.915865656,12,511
164,441,5.722270277,10,519
165,404,3.426837029,11,499
166,428,10.05951882,9,508
167,441,6.321112516,23,528
168,408,5.655732251,10,505
169,421,4.191466175,8,492
170,441,2.341708543,26,508
171,404,2.994211192,20,505
172,421,4.137018037,22,519
173,438,3.957932828,8,522
174,428,3.260363298,12,499
175,435,0.64845815,12,502
176,441,4.544995455,28,514
177,441,2.728059086,18,516
178,421,0.534320932,6,502
179,454,3.822232274,25,514
180,441,5.655732251,11,522
181,412,0.807999192,29,516
182,438,5.988422383,22,519
183,417,1.696256926,16,502
184,438,2.934026322,13,516
185,417,2.883636775,15,502
186,404,1.583173131,7,514
187,431,8.383791337,19,514
188,417,2.328830927,5,514
189,441,3.59305343,7,508
190,431,2.927673165,11,508
191,394,3.659591457,6,514
192,417,1.543682214,12,508
193,438,4.240642316,15,511
194,412,2.2622929,15,499
195,424,2.093802345,15,511
196,408,4.023807528,6,505
197,424,1.918998081,16,519
198,431,5.056890013,9,505
199,431,0.603015075,29,522
200,408,2.827094877,16,511
201,408,0.904670361,12,508
202,431,4.857275933,21,505
203,444,1.197684477,17,511
204,424,6.520726595,12,519
205,441,3.726129483,9,508
206,431,0.998070397,11,516
207,431,1.012442611,6,502
208,438,2.827094877,6,514
209,444,2.395368953,23,522
210,417,4.579893701,12,514
211,435,1.623083859,15,508
212,412,0.7329829,10,489
213,412,3.392513853,14,514
214,435,2.99672057,11,519
215,412,0.706773719,11,519
216,424,3.7093619,26,502
217,424,0.946886811,11,496
218,389,1.082055906,20,496
219,444,2.766367675,11,505
220,383,3.992281589,11,492
221,417,0.40201005,16,499
222,431,6.653802648,6,505
223,431,3.326901324,19,496
224,448,4.240642316,20,519
225,417,0.631603124,6,496
226,451,1.978966414,11,528
227,444,5.522656198,12,516
228,431,2.861135139,17,508
229,408,3.992281589,9,499
230,431,3.992281589,11,525
231,441,0.683994126,11,514
232,431,4.523351804,17,496
233,417,1.088777219,6,499
234,448,4.945930086,18,508
235,332,0.34253776,4,499
236,431,8.811866647,26,519
237,438,3.326901324,12,516
238,441,2.01999798,25,514
239,435,6.700167504,29,502
240,435,8.37520938,17,528
241,428,2.661521059,11,492
242,435,1.863064741,27,525
243,435,1.924250246,10,492
244,431,6.069505629,25,514
245,448,2.794597112,11,514
246,438,9.315323707,17,522
247,428,2.827094877,15,519
248,389,3.328438571,15,508
249,421,3.02999697,8,505
250,379,2.129216847,10,499
251,451,2.705139766,12,514
252,448,9.980703972,12,508
253,412,7.319182913,11,522
254,421,2.524997475,6,514
255,441,1.996140794,21,514
256,441,5.323042119,12,511
257,444,10.05951882,19,511
258,428,4.359124822,6,505
259,438,6.287199262,20,508
260,417,2.54438539,16,502
261,438,3.30961443,14,496
262,424,1.130837951,28,516
263,435,3.109804365,22,514
264,421,0.477421922,15,516
265,421,3.160556258,17,505
266,448,7.851487125,12,516
267,412,1.741022851,13,496
268,424,3.261703761,13,519
269,448,3.957932828,17,516
270,417,0.378749621,17,502
271,435,6.287199262,12,508
272,428,0.48947626,8,508
273,438,6.287199262,26,514
274,441,7.998234872,18,516
275,438,20.1999798,22,522
276,412,1.860282959,24,514
277,412,1.67658647,0,502
278,448,5.088770779,29,508
279,431,2.795311091,12,516
280,448,2.261675902,19,516
281,435,5.722270277,11,514
282,438,6.70634588,16,514
283,441,5.123428039,29,522
284,417,1.351699279,10,508
285,428,4.657661854,21,514
286,424,2.940178672,12,508
287,435,2.934026322,13,522
288,421,4.353726111,11,508
289,417,3.67522334,26,511
290,441,5.988422383,11,516
291,438,4.749519394,15,516
292,428,4.544995455,25,492
293,428,2.994211192,28,508
294,428,5.189966066,24,508
295,444,2.487843492,34,511
296,444,4.688620442,12,511
297,441,13.00463644,16,516
298,441,4.324971721,15,528
299,379,3.992281589,3,473
300,451,2.975940984,23,514
301,448,2.134429921,6,505
302,435,3.659591457,26,522
303,428,6.785027706,17,502
304,448,0.893361981,24,508
305,424,13.3076053,28,522
306,404,0.979345521,11,492
307,444,0.595725433,12,514
308,421,6.067626455,14,530
309,424,0.729394602,8,492
310,441,2.937288882,24,511
311,408,1.127246204,21,508
312,424,0.835427136,12,508
313,412,0.542802216,16,505
314,394,1.885070244,8,502
315,431,4.240642316,25,508
316,435,6.387650542,26,511
317,441,2.994211192,11,514
318,428,0.523094979,24,489
319,399,0.623561013,2,485
320,451,9.221225585,12,536
321,438,3.659591457,24,516
322,356,0.45233518,9,511
323,435,9.894832071,23,519
324,394,0.596777402,6,485
325,412,0.435647503,10,499
326,428,2.46190698,27,502
327,428,3.193825271,23,508
328,431,3.230543319,12,508
329,438,4.31696086,22,519
330,417,1.088777219,20,489
331,431,1.664219285,11,519
332,408,1.392818281,28,505
333,404,1.33076053,11,514
334,417,14.13547439,12,522
335,379,0.644050968,9,499
336,412,2.010050251,12,511
337,421,1.517599256,17,522
338,428,5.936899242,12,519
339,431,4.857275933,12,511
340,421,3.326901324,22,511
341,417,3.992281589,12,522
342,424,5.123428039,5,511
343,438,6.653802648,16,528
344,451,5.988422383,21,508
345,435,3.659591457,15,514
346,431,2.682538352,10,492
347,428,4.324971721,5,519
348,438,3.326901324,22,539
349,428,1.005951882,26,511
350,428,3.392513853,21,505
351,438,1.863064741,22,522
352,431,2.56171402,10,511
353,428,3.459977377,22,511
354,356,2.092050209,16,492
355,431,16.15998384,15,514
356,441,2.77055298,12,516
357,435,3.193825271,6,525
358,454,4.03999596,22,530
359,438,6.653802648,12,511
360,458,3.992281589,20,525
361,408,3.60466091,24,511
362,383,0.455462294,11,492
363,356,0.400090467,13,481
364,412,3.182812811,10,508
365,421,2.528445006,6,499
366,431,3.426333823,5,496
367,431,2.940178672,29,505
368,417,0.29764267,12,499
369,428,0.957562568,12,511
370,444,2.661521059,9,511
371,431,3.326901324,12,525
372,404,2.035508312,17,502
373,408,1.378043179,17,519
374,428,4.240642316,18,525
375,444,3.526515404,26,511
376,438,2.514879705,21,519
377,454,3.939978204,17,522
378,438,2.487843492,14,514
379,421,2.46190698,22,511
380,444,2.813172265,12,514
381,428,5.448906027,28,514
382,421,0.253247964,6,508
383,424,0.518996607,9,489
384,428,2.129216847,16,511
385,421,0.994629003,12,514
386,428,1.696256926,21,530
387,421,1.996140794,14,496
388,438,2.261675902,18,514
389,441,1.300463644,21,544
390,399,10.17754156,6,522
391,438,4.990351986,6,514
392,428,0.882563848,8,525
393,421,2.2622929,14,514
394,441,2.345058626,11,511
395,428,2.661521059,3,489
396,424,2.129216847,6,508
397,435,4.071016623,24,519
398,441,6.653802648,30,519
399,431,5.02975941,23,508
400,435,13.64029543,20,525
401,399,1.256281407,8,508
402,473,4.657661854,34,542
403,438,1.352569883,12,514
404,465,13.57005541,25,522
405,431,0.321777896,9,516
406,431,3.459977377,12,502
407,399,0.8550591,6,496
408,417,0.429149261,9,502
409,399,1.722553973,6,522
410,444,4.862100763,16,516
411,441,2.937288882,17,522
412,444,1.592757146,25,514
413,448,3.67522334,12,519
414,435,5.371480267,11,514
415,404,1.033532384,6,499
416,435,1.336755427,9,525
417,424,3.060749218,10,514
418,424,2.328830927,15,514
419,444,4.657661854,21,522
420,441,8.649943443,10,536
421,441,5.936899242,12,530
422,465,3.326901324,27,530
423,424,0.931532371,6,508
424,417,1.978966414,18,496
425,435,9.221225585,15,519
426,421,2.328830927,9,508
427,448,14.63836583,15,528
428,412,2.344454463,11,492
429,441,2.514879705,20,516
430,383,0.440965559,12,489
431,444,5.655732251,15,508
432,394,1.046901173,11,499
433,424,8.802078967,23,528
434,421,1.6644637,6,477
435,441,5.868052645,16,514
436,424,5.201854574,18,516
437,448,2.827094877,11,528
438,441,2.847571189,24,522
439,444,2.758012025,12,505
440,451,7.319182913,12,519
441,428,2.328830927,12,508
442,389,0.67001675,11,492
443,435,3.326901324,10,511
444,441,4.657661854,20,522
445,421,5.655732251,11,514
446,394,1.074296053,21,502
447,444,3.526515404,0,519
448,448,11.64415463,14,519
449,408,1.151189563,10,499
450,399,2.514879705,4,499
451,417,0.502512563,9,508
452,408,1.663450662,9,499
453,421,5.323042119,12,511
454,441,1.996140794,10,496
455,441,1.996140794,5,511
456,412,3.109804365,21,516
457,438,7.585335019,23,508
458,444,6.653802648,6,525
459,389,6.069505629,2,492
460,441,2.657469185,28,514
461,421,3.939978204,5,511
462,431,5.371480267,10,522
463,438,3.326901324,18,516
464,421,4.790737907,12,516
465,444,11.97684477,31,533
466,356,3.992281589,6,508
467,412,2.328830927,12,499
468,421,4.657661854,13,525
469,441,3.326901324,26,528
470,454,7.984563178,17,516
471,441,5.988422383,15,511
472,438,7.319182913,12,519
473,441,4.324971721,28,508
474,441,3.326901324,12,505
475,438,2.994211192,25,511
476,431,11.3114645,12,519
477,412,4.324971721,10,508
478,444,3.659591457,8,539
479,441,0.231719876,12,514
480,431,5.655732251,13,519
481,421,9.333161689,12,528
482,448,8.481284632,22,533
483,444,6.70634588,4,522
484,438,4.544995455,30,516
485,428,4.240642316,23,502
486,424,2.487843492,18,516
487,428,4.796867352,6,522
488,428,3.326901324,6,489
489,412,2.994211192,24,508
490,404,2.514879705,6,492
491,448,0.998070397,17,519
492,412,1.158599382,17,489
493,451,5.862646566,11,514
494,451,6.653802648,24,519
495,444,2.328830927,12,508
496,417,2.153192467,12,505
497,389,2.162485861,12,505
498,435,2.936857562,10,514
499,412,1.414581066,3,508
500,428,3.981892866,15,522
501,454,2.129216847,16,514
502,431,2.395368953,28,514
503,435,2.994211192,6,514
504,399,0.435304561,15,489
505,431,2.487843492,20,508
506,428,5.04999495,15,528
507,435,5.240222847,9,516
508,438,2.994211192,12,514
509,444,3.585415632,10,514
510,435,7.544639115,12,505
511,435,3.109804365,10,522
512,421,2.495175993,15,508
513,438,3.659591457,24,522
514,383,4.990351986,11,492
515,435,2.146247854,14,508
516,424,1.663450662,10,505
517,417,2.120321158,15,505
518,424,3.67522334,23,516
519,394,6.321112516,6,514
520,438,2.162485861,11,511
521,451,9.612122583,21,511
522,431,2.067464635,12,519
523,435,6.121498436,13,511
524,421,3.787496213,12,516
525,424,5.323042119,18,508
526,428,2.827866125,15,514
527,435,1.893748106,11,514
528,435,4.324971721,17,505
529,435,3.659591457,30,511
530,444,2.403030646,9,519
531,408,0.706773719,6,458
532,399,1.829795728,10,514
533,421,2.685740133,10,489
534,408,3.659591457,11,505
535,431,2.162485861,9,522
536,421,1.004823151,17,514
537,417,1.829795728,15,492
538,421,2.777497223,13,502
539,438,11.64415463,12,525
540,421,4.240642316,6,511
541,441,4.240642316,12,514
542,356,0.734214391,0,473
543,389,3.160556258,8,489
544,417,2.930568079,9,516
545,451,9.315323707,21,525
546,458,3.659591457,13,544
547,444,8.31725331,16,511
548,408,0.165771501,6,485
549,441,8.31725331,27,522
550,441,14.97105596,23,522
551,424,1.164415463,6,519
552,435,3.160556258,12,516
553,435,1.467013161,12,519
554,435,3.109804365,11,514
555,435,2.120321158,11,519
556,417,3.160556258,16,505
557,412,0.143546164,8,508
558,431,3.160556258,8,511
559,389,0.141354744,20,502
560,424,1.886159779,10,505
561,399,1.414581066,0,438
562,394,1.448249228,16,496
563,448,3.981892866,14,508
564,428,1.83761167,25,508
565,399,2.39390642,8,492
566,379,0.734214391,6,481
567,412,1.829795728,6,496
568,412,0.128653767,16,511
569,408,1.886159779,9,496
570,383,1.160400504,13,496
571,394,1.713166911,6,508
572,424,2.827866125,10,514
573,412,0.628719926,14,508
574,379,0.209380235,6,496
575,435,1.829795728,11,514
576,399,3.772319557,8,514
577,458,6.321112516,11,519
578,412,7.544639115,17,514
579,431,0.798456318,15,514
580,383,1.996140794,15,502
581,431,4.657661854,12,519
582,438,3.59305343,26,514
583,428,5.988422383,30,519
584,435,8.885908291,14,514
585,444,9.789525208,11,522
586,448,3.459977377,12,519
587,424,10.89781205,27,508
588,404,13.41269176,6,505
589,451,3.992281589,18,514
590,424,3.916385176,17,519
591,435,1.029866117,10,525
592,431,4.790737907,21,516
593,428,9.315323707,28,496
594,421,8.38293235,11,508
595,431,7.170831265,12,508
596,428,3.659591457,14,519
597,435,1.173610529,13,508
598,431,4.324971721,4,502
599,454,3.992281589,21,514
600,417,4.258433695,10,499
601,435,1.67658647,17,511
602,404,2.574665294,5,502
603,408,1.172529313,17,505
604,417,0.883749116,6,502
605,438,2.692119432,14,519
606,379,5.314938369,21,499
607,424,3.231996768,18,519
608,383,1.67658647,12,499
609,444,3.59305343,7,514
610,332,0.628719926,10,492
611,394,1.442741208,13,519
612,438,4.688620442,12,522
613,412,3.562139545,6,505
614,435,4.324971721,27,516
615,428,2.318217799,6,508
616,435,2.54438539,12,511
617,435,2.347221058,13,525
618,412,1.33076053,18,516
619,394,0.671975857,9,505
620,438,4.324971721,19,519
621,448,3.992281589,6,505
622,424,2.261675902,10,519
623,428,8.649943443,6,516
624,408,2.861135139,11,496
625,435,4.606365159,12,505
626,431,3.35317294,19,514
627,424,2.827094877,20,528
628,441,2.661521059,11,519
629,356,4.324971721,23,499
630,421,0.837520938,6,502
631,448,3.326901324,15,528
632,421,2.827094877,15,485
633,451,2.794597112,15,528
634,444,5.02975941,17,502
635,444,7.544639115,12,499
636,428,1.929602768,10,519
637,444,4.458047774,12,528
638,431,2.794597112,15,496
639,379,0.576727355,6,492
640,404,2.129216847,6,511
641,441,5.868052645,26,525
642,435,7.651873045,28,525
643,448,2.54438539,8,511
644,435,4.137018037,16,514
645,441,2.374759697,11,508
646,435,1.696256926,12,514
647,412,1.468428781,8,505
648,444,5.02975941,17,519
649,461,8.961474037,9,516
650,435,7.802781861,26,511
651,448,4.990351986,18,525
652,438,2.46190698,21,519
653,428,2.994211192,16,499
654,383,1.017754156,4,496
655,421,0.442618828,20,489
656,448,3.992281589,30,522
657,417,2.261675902,20,519
658,428,18.57657809,14,533
659,438,3.057415036,6,508
660,428,1.626288876,12,502
661,379,5.722270277,6,511
662,383,3.992281589,6,502
663,424,4.990351986,10,519
664,408,0.598842238,10,508
665,428,2.994211192,22,508
666,389,1.158599382,16,511
667,412,3.060749218,27,516
668,421,6.653802648,12,508
669,438,3.67522334,15,519
670,438,0.621960873,10,519
671,389,0.250125063,2,489
672,444,6.70634588,27,519
673,408,3.772319557,9,499
674,417,1.13114645,2,528
675,441,4.324971721,10,511
676,383,1.978966414,9,511
677,448,1.996140794,17,514
678,417,3.109804365,11,502
679,438,2.429731993,12,508
680,438,2.195754874,12,514
681,424,1.413547439,12,508
682,428,1.366386883,12,516
683,441,6.321112516,11,505
684,428,2.661521059,17,485
685,431,2.931323283,12,516
686,428,4.975686984,17,516
687,431,2.54438539,21,508
688,431,1.675041876,6,516
689,417,2.261306533,12,505
690,383,2.927673165,10,499
691,431,2.374759697,8,516
692,394,1.397298556,15,519
693,435,1.996140794,24,511
694,431,3.859205536,24,514
695,421,3.392513853,10,516
696,444,1.863064741,14,525
697,412,1.675041876,6,522
698,428,3.060749218,20,516
699,435,0.628719926,17,514
700,424,1.796526715,11,511
701,424,3.688490234,11,522
702,428,7.125492497,5,508
703,435,1.996140794,21,530
704,438,19.96147448,12,508
705,435,4.92381396,20,502
706,399,0.430638493,5,485
707,421,0.596777402,23,508
708,441,5.02975941,22,514
709,435,0.427761737,12,519
710,428,2.714011082,12,508
711,431,2.827094877,24,525
712,451,2.342138532,17,533
713,424,2.316730101,22,502
714,435,2.994211192,20,522
715,412,1.729988689,9,499
716,438,3.326901324,6,508
717,431,2.395368953,17,525
718,417,3.459977377,23,514
719,424,1.868986626,6,514
720,435,7.585335019,12,508
721,404,1.796526715,10,492
722,383,0.166345066,11,511
723,431,3.35317294,18,516
724,424,0.117332332,23,499
725,438,1.663450662,12,514
726,428,4.359124822,12,514
727,438,2.661521059,17,519
728,408,2.30318258,32,481
729,428,2.395368953,6,508
730,424,3.67522334,11,516
731,428,1.397298556,15,528
732,424,1.187379848,11,505
733,441,3.160556258,14,522
734,435,6.653802648,14,522
735,421,4.324971721,5,516
736,412,2.46190698,19,505
737,431,2.994211192,6,492
738,417,1.829795728,21,519
739,428,1.197684477,27,516
740,435,3.772319557,5,519
741,424,1.83761167,11,508
742,431,2.591287323,6,516
743,417,2.005133141,9,514
744,444,1.829795728,12,528
745,431,4.240642316,12,508
746,417,4.125357642,6,492
747,421,0.293132328,10,492
748,399,1.696256926,17,511
749,441,1.656796859,24,514
750,431,3.35317294,6,502
751,421,2.205134004,18,502
752,435,1.996140794,19,525
753,461,8.982633575,14,528
754,421,1.256281407,23,496
755,421,2.129216847,19,505
756,438,2.524997475,26,502
757,379,1.272192695,8,502
758,408,1.989486992,6,522
759,444,1.436343852,31,514
760,408,2.794597112,17,499
761,412,2.994211192,6,505
762,428,3.659591457,19,514
763,438,2.77055298,20,525
764,431,1.844245117,17,516
765,421,3.59305343,11,502
766,435,5.323042119,11,505
767,424,4.240642316,13,502
768,408,0.137900601,12,481
769,408,1.338248662,10,528
770,404,3.426837029,18,508
771,424,1.863064741,11,511
772,444,6.653802648,20,519
773,412,1.127141569,9,499
774,356,2.994211192,6,492
775,417,1.716998283,7,499
776,444,2.514879705,12,511
777,444,5.700393998,31,514
778,444,2.647691544,21,530
779,424,2.00989799,23,528
780,417,4.524585801,11,514
781,441,2.318217799,13,519
782,424,3.109804365,6,499
783,435,3.787496213,9,511
784,424,8.38293235,10,525
785,417,2.095351767,23,519
786,438,2.129216847,27,516
787,438,9.980703972,24,502
788,435,2.861135139,11,499
789,421,5.28124738,21,508
790,441,2.120321158,16,505
791,408,7.544639115,9,505
792,444,2.395368953,12,522
793,441,1.413547439,12,514
794,412,1.33076053,0,502
795,417,3.22288816,12,516
796,421,3.393439351,6,499
797,438,5.323042119,31,516
798,399,4.292495708,26,499
799,399,2.994211192,7,508
800,408,2.661521059,18,511
801,431,3.925743562,14,522
802,431,6.986492781,6,505
803,404,2.095733087,10,511
804,412,3.392513853,15,516
805,441,6.580601895,14,508
806,441,3.844849033,27,516
807,431,3.772319557,15,516
808,424,1.033532384,20,505
809,448,11.14930003,12,511
810,444,6.287199262,11,508
811,421,2.195754874,4,502
812,441,3.69286047,28,522
813,441,2.162485861,15,530
814,441,2.447381302,12,496
815,431,3.101684969,21,516
816,444,3.659591457,26,525
817,438,3.659591457,10,511
818,441,1.13114645,23,516
819,431,4.806061291,17,508
820,438,5.088770779,23,514
821,421,1.413547439,10,496
822,438,2.317198764,8,514
823,408,0.565418975,22,502
824,431,2.328830927,12,519
825,428,0.989483207,11,492
826,399,3.859205536,25,499
827,417,2.251590798,12,496
828,458,1.729988689,23,528
829,424,1.760415793,22,511
830,431,2.148592107,23,511
831,435,2.328830927,8,508
832,441,4.023807528,16,528
833,435,3.326901324,6,508
834,404,1.413547439,11,496
835,389,1.174743025,6,485
836,431,1.696256926,11,508
837,404,1.978966414,27,511
838,404,2.318217799,12,489
839,421,1.996140794,20,514
840,424,2.528445006,12,516